date,prediction_date,period,predicted_direction,actual_direction,direction_correct,predicted_price,actual_price,price_error,sentiment_score,technical_score,macro_score,composite_score,error_analysis,factor_attribution,weight_adjustment_suggestion,validated,validation_date
2026-07-10,2026-07-03,5d,up,down,False,108957.99,102850.0,130.0,0.16,0.71,0.98,,"原因：技术因子评分0.71偏高，但实际价格下跌，说明短期技术面信号失效；宏观评分0.98被高估，未反映真实下行压力。

归因：技术因子（35%权重）和宏观因子（25%权重）评分偏差导致综合评分失真。

建议：降低技术权重至30%，宏观降至20%，舆情提升至50%，增强情绪面敏感度。",舆情因子,,True,2026-07-10
2026-07-10,2026-07-04,5d,up,up,True,109382.78,103160.0,180.0,0.37,0.71,0.3,,预测正确,无,,True,2026-07-10
2026-07-10,2026-07-02,5d,stable,up,False,103433.51,102970.0,1050.0,0.2,-0.93,0.72,,"原因：技术因子给出-0.93的强看空信号，但价格实际上涨，说明技术指标（RSI/均线）滞后于趋势启动。

归因：技术因子。权重0.35过高，且评分与实际情况严重背离。

建议：降低技术权重至0.1-0.15，或改用更敏感的技术指标（如MACD、成交量变化率）。",技术因子,,True,2026-07-10
2026-07-10,2026-07-03,5d,up,down,False,108957.99,102850.0,130.0,0.16,0.71,0.98,,"原因：情绪评分0.16（中性偏弱）与预测方向""up""矛盾，技术评分0.71未能支撑上涨，宏观评分0.98虚高。
归因：舆情因子权重0.4过高但信号失真，宏观因子评分虚高且权重不足。
建议：舆情权重降至0.3，宏观升至0.35，技术保持0.35；加强情绪评分负值处理。",舆情因子,,True,2026-07-10
2026-07-10,2026-07-04,5d,up,up,True,109382.78,103160.0,180.0,0.37,0.71,0.3,,预测正确,无,,True,2026-07-10
2026-07-10,2026-07-02,5d,stable,up,False,103433.51,102970.0,1050.0,0.2,-0.93,0.72,,"原因：技术评分-0.93（看空）被权重0.35放大，抵消了宏观利好信号，导致中性误判。

归因：技术因子。短期技术指标滞后，未能反映宏观驱动（美元指数/库存）带来的上涨动能。

建议：技术权重0.35→0.25，宏观0.25→0.35，让宏观主导趋势判断。",技术因子,,True,2026-07-10
2026-07-10,2026-07-03,5d,up,down,False,108957.99,102850.0,130.0,0.16,0.71,0.98,,"原因：综合评分仅2.32（弱偏多），实际微跌130元，属方向性误判。情绪评分0.16几乎中性，未能捕捉市场真实情绪；技术评分0.71高估了短期动能。

归因：**情绪因子**评分失真（0.16过低），权重0.4却未发挥作用；技术因子权重0.35偏高，在震荡市中信号噪音大。

建议：情绪权重0.4→0.5，技术0.35→0.25，宏观0.25不变。加强情绪数据源质量，技术信号增加过滤条件（如RSI极",舆情因子,,True,2026-07-10
2026-07-10,2026-07-04,5d,up,up,True,109382.78,103160.0,180.0,0.37,0.71,0.3,,预测正确,无,,True,2026-07-10
2026-07-10,2026-07-02,5d,stable,up,False,103433.51,102970.0,1050.0,0.2,-0.93,0.72,,"原因：技术面评分-0.93过度主导，抵消了舆情和宏观的正面信号，导致中性误判。

归因：技术因子权重过高（35%），RSI/均线信号滞后于实际上涨动能。

建议：技术权重降至25%，舆情升至45%，宏观保持30%。",舆情因子,,True,2026-07-10
2026-07-10,2026-07-03,5d,up,down,False,108957.99,102850.0,130.0,0.16,0.71,0.98,,"原因：技术面评分0.71偏乐观，但实际价格微跌，短期均线信号失效；宏观评分0.98过高，未反映即时市场谨慎情绪。

归因：技术因子和宏观因子评分虚高，舆情权重40%但评分仅0.16，未能有效对冲。

建议：技术权重降至0.30，宏观降至0.20，舆情提升至0.50；或增加""动量修正""衰减系数。",舆情因子,,True,2026-07-10
2026-07-10,2026-07-04,5d,up,up,True,109382.78,103160.0,180.0,0.37,0.71,0.3,,预测正确,无,,True,2026-07-10
2026-07-13,2026-07-03,5d,up,down,False,108957.99,102850.0,130.0,0.16,0.71,0.98,,"原因：宏观评分虚高（0.98），但价格实际下跌，说明宏观因子未能捕捉真实市场信号。

归因：宏观因子权重（0.25）与评分（0.98）严重误导，技术评分（0.71）也偏乐观。

建议：降低宏观权重至0.15，技术升至0.40，舆情保持0.45；增加价格动量验证。",舆情因子,,True,2026-07-13
2026-07-13,2026-07-04,5d,up,up,True,109382.78,103160.0,180.0,0.37,0.71,0.3,,预测正确,无,,True,2026-07-13
2026-07-13,2026-07-05,5d,up,up,True,106808.28,103710.0,730.0,0.07,0.71,0.5,,预测正确,无,,True,2026-07-13
2026-07-13,2026-07-03,5d,up,down,False,108957.99,102850.0,130.0,0.16,0.71,0.98,,"基于当前配置（舆情0.5 + 宏观0.5，技术已停用）分析：

**原因：** 舆情评分0.16偏中性但权重过高，宏观评分0.98过度乐观，两者叠加导致综合评分虚高。实际价格下跌说明宏观因子未能捕捉短期利空。

**归因：** 宏观因子评分偏差（0.98过高），可能未充分反映库存压力或美元走强等短期因素。

**建议：** 宏观权重降至0.45，舆情降至0.45，预留0.10给技术因子（如RSI/",舆情因子,,True,2026-07-13
2026-07-13,2026-07-04,5d,up,up,True,109382.78,103160.0,180.0,0.37,0.71,0.3,,预测正确,无,,True,2026-07-13
2026-07-13,2026-07-05,5d,up,up,True,106808.28,103710.0,730.0,0.07,0.71,0.5,,预测正确,无,,True,2026-07-13
2026-07-13,2026-07-08,5d,up,up,True,106960.09,103060.0,90.0,0.31,0.0,0.0,,预测正确,无,,True,2026-07-13
2026-07-13,2026-07-03,5d,up,down,False,108957.99,102850.0,130.0,0.16,0.71,0.98,,"原因：综合评分2.32仅略高于阈值，信号微弱；宏观评分0.98偏高掩盖了实际下行风险，技术评分0.71未能捕捉短期回调信号。

归因：宏观因子权重过高（0.25），且评分虚高；技术因子权重不足（0.35），未能及时反映价格动能转弱。

建议：技术权重提升至0.45，宏观降至0.15，舆情保持0.4。增强短期技术指标敏感度，降低宏观数据滞后性影响。",舆情因子,,True,2026-07-13
2026-07-13,2026-07-04,5d,up,up,True,109382.78,103160.0,180.0,0.37,0.71,0.3,,预测正确,无,,True,2026-07-13
2026-07-13,2026-07-05,5d,up,up,True,106808.28,103710.0,730.0,0.07,0.71,0.5,,预测正确,无,,True,2026-07-13
2026-07-13,2026-07-08,5d,up,up,True,106960.09,103060.0,90.0,0.31,0.0,0.0,,预测正确,无,,True,2026-07-13
2026-07-13,2026-07-03,5d,up,down,False,108957.99,102850.0,130.0,0.16,0.71,0.98,,"原因：综合评分仅2.32（弱偏多），实际微跌130元，属方向误判但幅度极小，模型对弱信号过度敏感。

归因：舆情权重0.4过高，情绪评分0.16几乎中性却占最大权重；技术评分0.71偏强但实际走低，技术因子失效。

建议：降低舆情至0.25，技术升至0.45，宏观保持0.30；或增设""信号强度阈值""（如|评分|>3才触发方向预测）。",舆情因子,,True,2026-07-13
2026-07-13,2026-07-04,5d,up,up,True,109382.78,103160.0,180.0,0.37,0.71,0.3,,预测正确,无,,True,2026-07-13
2026-07-13,2026-07-05,5d,up,up,True,106808.28,103710.0,730.0,0.07,0.71,0.5,,预测正确,无,,True,2026-07-13
2026-07-13,2026-07-08,5d,up,up,True,106960.09,103060.0,90.0,0.31,0.0,0.0,,预测正确,无,,True,2026-07-13
2026-07-14,2026-07-04,5d,up,up,True,109382.78,103160.0,180.0,0.37,0.71,0.3,,预测正确,无,,True,2026-07-14
2026-07-14,2026-07-05,5d,up,up,True,106808.28,103710.0,730.0,0.07,0.71,0.5,,预测正确,无,,True,2026-07-14
2026-07-14,2026-07-08,5d,up,up,True,106960.09,103060.0,90.0,0.31,0.0,0.0,,预测正确,无,,True,2026-07-14
2026-07-14,2026-07-04,5d,up,up,True,109382.78,103160.0,180.0,0.37,0.71,0.3,,预测正确,无,,True,2026-07-14
2026-07-14,2026-07-05,5d,up,up,True,106808.28,103710.0,730.0,0.07,0.71,0.5,,预测正确,无,,True,2026-07-14
2026-07-14,2026-07-08,5d,up,up,True,106960.09,103060.0,90.0,0.31,0.0,0.0,,预测正确,无,,True,2026-07-14
2026-07-14,2026-07-04,5d,up,up,True,109382.78,103160.0,180.0,0.37,0.71,0.3,,预测正确,无,,True,2026-07-14
2026-07-14,2026-07-05,5d,up,up,True,106808.28,103710.0,730.0,0.07,0.71,0.5,,预测正确,无,,True,2026-07-14
2026-07-14,2026-07-08,5d,up,up,True,106960.09,103060.0,90.0,0.31,0.0,0.0,,预测正确,无,,True,2026-07-14
2026-07-14,2026-07-09,5d,up,up,True,106321.19,104340.0,1490.0,0.01,0.0,1.3,,预测正确,无,,True,2026-07-14
2026-07-15,2026-07-05,5d,up,up,True,106808.28,103710.0,730.0,0.07,0.71,0.5,,预测正确,无,,True,2026-07-15
2026-07-15,2026-07-08,5d,up,up,True,106960.09,103060.0,90.0,0.31,0.0,0.0,,预测正确,无,,True,2026-07-15
2026-07-15,2026-07-09,5d,up,up,True,106321.19,104340.0,1490.0,0.01,0.0,1.3,,预测正确,无,,True,2026-07-15
2026-07-15,2026-07-05,5d,up,up,True,106808.28,103710.0,730.0,0.07,0.71,0.5,,预测正确,无,,True,2026-07-15
2026-07-15,2026-07-08,5d,up,up,True,106960.09,103060.0,90.0,0.31,0.0,0.0,,预测正确,无,,True,2026-07-15
2026-07-15,2026-07-09,5d,up,up,True,106321.19,104340.0,1490.0,0.01,0.0,1.3,,预测正确,无,,True,2026-07-15
2026-07-16,2026-07-08,5d,up,up,True,106960.09,103060.0,90.0,0.31,0.0,0.0,,预测正确,无,,True,2026-07-16
2026-07-16,2026-07-09,5d,up,up,True,106321.19,104340.0,1490.0,0.01,0.0,1.3,,预测正确,无,,True,2026-07-16
2026-07-16,2026-07-08,5d,up,up,True,106960.09,103060.0,90.0,0.31,0.0,0.0,,预测正确,无,,True,2026-07-16
2026-07-16,2026-07-09,5d,up,up,True,106321.19,104340.0,1490.0,0.01,0.0,1.3,,预测正确,无,,True,2026-07-16
2026-07-20,2026-07-08,5d,up,up,True,106960.09,103060.0,90.0,0.31,0.0,0.0,,预测正确,无,,True,2026-07-20
2026-07-20,2026-07-09,5d,up,up,True,106321.19,104340.0,1490.0,0.01,0.0,1.3,,预测正确,无,,True,2026-07-20
2026-07-20,2026-07-08,5d,up,up,True,106960.09,103060.0,90.0,0.31,0.0,0.0,,预测正确,无,,True,2026-07-20
2026-07-20,2026-07-09,5d,up,up,True,106321.19,104340.0,1490.0,0.01,0.0,1.3,,预测正确,无,,True,2026-07-20
2026-07-20,2026-07-08,5d,up,up,True,106960.09,103060.0,90.0,0.31,0.0,0.0,,预测正确,无,,True,2026-07-20
2026-07-20,2026-07-09,5d,up,up,True,106321.19,104340.0,1490.0,0.01,0.0,1.3,,预测正确,无,,True,2026-07-20
2026-07-20,2026-07-08,5d,up,up,True,106960.09,103060.0,90.0,0.31,0.0,0.0,,预测正确,无,,True,2026-07-20
2026-07-20,2026-07-09,5d,up,up,True,106321.19,104340.0,1490.0,0.01,0.0,1.3,,预测正确,无,,True,2026-07-20
2026-07-22,2026-07-08,5d,up,up,True,106960.09,103060.0,90.0,0.31,0.0,0.0,,预测正确,无,,True,2026-07-22
2026-07-22,2026-07-09,5d,up,up,True,106321.19,104340.0,1490.0,0.01,0.0,1.3,,预测正确,无,,True,2026-07-22
2026-07-22,2026-07-16,5d,up,up,True,109697.94,105460.0,1110.0,0.21,0.0,1.0,,预测正确,无,,True,2026-07-22
